Country,Product Category,Price (USD),Cost of Living Relative to US
,Bermuda,141.1,93.0
,Switzerland,117.3,50.6
,Cayman Islands,115.4,79.9
,Bahamas,93.7,40.8
,Iceland,87.7,39.4
,Singapore,85.9,94.0
,Barbados,84.2,20.4
,Jersey,82.6,55.2
,Norway,82.2,27.9
,Denmark,79.2,30.9
,Australia,75.4,38.8
,United States,74.2,46.4
,Hong Kong (China),72.4,61.0
,Guernsey,71.8,48.1
,Luxembourg,71.7,45.5
,New Zealand,70.7,30.4
,Ireland,70.4,42.7
,Israel,70.0,28.1
,South Korea,69.2,17.4
,France,69.1,23.6
,Austria,68.7,23.5
,Finland,68.7,22.7
,Puerto Rico,68.5,24.3
,Canada,68.0,33.8
,Netherlands,67.5,32.6
,Germany,66.0,25.1
,Belgium,65.8,22.4
,Macao (China),65.0,32.6
,United Kingdom,63.6,31.0
,Isle Of Man,62.5,29.5
,Uruguay,61.0,16.1
,Italy,61.0,19.5
,Sweden,60.9,21.2
,United Arab Emirates,60.7,31.5
,Malta,59.4,26.5
,Qatar,59.3,45.3
,Cyprus,59.2,28.2
,Yemen,58.5,7.3
,Bahrain,56.0,23.5
,Estonia,55.9,16.1
,Trinidad And Tobago,54.6,14.0
,Jamaica,54.4,13.9
,Japan,54.3,17.8
,Brunei,54.2,16.1
,Maldives,53.4,25.1
,Taiwan,53.3,14.7
,Greece,53.2,12.8
,Lebanon,53.1,17.4
,Cuba,53.0,17.7
,Costa Rica,53.0,15.7
,Czech Republic,52.8,19.3
,Slovenia,51.6,17.7
,Latvia,51.0,11.1
,Saudi Arabia,50.1,11.9
,Belize,50.0,10.6
,Lithuania,49.9,17.2
,Spain,49.9,20.9
,Oman,49.6,15.0
,Panama,48.2,20.8
,Hungary,48.0,12.8
,Guyana,47.9,11.4
,Chile,47.7,13.8
,Slovakia,47.5,15.0
,Croatia,47.4,12.7
,Portugal,46.1,21.9
,Kuwait,46.1,25.5
,Senegal,46.0,22.2
,Jordan,45.3,8.1
,Palestine,45.1,8.5
,Ivory Coast,44.8,14.7
,Poland,44.7,18.7
,Armenia,43.1,24.4
,Dominican Republic,43.1,11.7
,Montenegro,42.4,15.7
,Mexico,42.4,14.4
,El Salvador,42.3,14.6
,Ethiopia,42.3,17.2
,Cameroon,42.3,16.9
,Venezuela,41.8,6.5
,Cambodia,41.7,11.8
,Mauritius,41.0,11.1
,Georgia,40.6,19.3
,Serbia,40.5,14.1
,Albania,40.4,9.6
,Bulgaria,40.3,9.7
,Zimbabwe,38.7,11.2
,Thailand,38.5,12.6
,Guatemala,38.5,13.8
,Romania,38.4,9.8
,Brazil,37.7,8.8
,Honduras,37.7,10.2
,Bosnia And Herzegovina,36.7,5.8
,China,36.5,15.6
,Belarus,36.3,9.2
,Philippines,35.9,8.9
,Moldova,35.9,9.1
,Fiji,34.9,15.4
,Nicaragua,34.9,8.4
,South Africa,34.5,12.0
,Vietnam,34.5,10.8
,Kazakhstan,34.3,15.6
,Ecuador,34.2,9.2
,Sri Lanka,33.8,6.5
,Peru,33.6,10.5
,Myanmar,33.4,17.5
,Iraq,32.6,9.0
,North Macedonia,32.5,5.7
,Mongolia,32.3,11.5
,Malaysia,32.3,9.2
,Russia,32.1,9.4
,Botswana,31.9,7.0
,Namibia,31.4,10.6
,Uganda,31.3,8.2
,Bolivia,30.9,8.1
,Indonesia,30.8,9.2
,Ukraine,30.7,9.3
,Azerbaijan,30.6,8.3
,Argentina,30.3,7.2
,Morocco,30.1,7.5
,Kyrgyzstan,29.9,11.2
,Somalia,29.7,4.2
,Kosovo (Disputed Territory),29.5,8.0
,Paraguay,29.1,9.7
,Tanzania,28.9,9.0
,Kenya,28.9,7.1
,Algeria,28.6,4.1
,Ghana,28.5,19.8
,Iran,28.4,10.9
,Colombia,27.6,8.0
,Tunisia,27.4,4.9
,Turkey,27.1,8.5
,Uzbekistan,26.6,11.4
,Bangladesh,26.2,3.0
,Nepal,25.9,3.7
,Syria,25.2,4.2
,Libya,23.9,5.1
,Nigeria,23.2,16.4
,India,22.9,5.5
,Egypt,21.7,3.6
,Pakistan,17.6,3.0
